Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
colonic epithelial cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	SLC9A5;LEPR;BAHCC1;RGS9;ZBTB41
liver	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	ASPM;SETD2;PCDHA9;PVRL3;EMID1
lymph node	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	WDR36;MMP17;RHOH;RFXANK;EMID1
salivary gland	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	FAM83H;SENP6;MED11;SLC25A42;UFSP1
seminal vesicle	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	ACHE;DCC;GCG;ACOX3;TEAD1
stomach	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	GADD45GIP1;RMND1;PKP4;B4GALT4;OR52N2
BT-549 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	RNF103;RIPK1;TXNDC15;CKLF
HCC-1143	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	TRPA1;HSF4;CES3;ADAT3
HCC-1937 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	ADAMTS14;NEK4;TMEM116;INHBB
HSC-3 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	CEP164;AZI2;MCF2L2;FAM83B
Hs-578T cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	SETD2;JAG1;CYP2U1;HBG2
K-562 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	WDR27;PCDHA4;MCF2L2;TLE6
MO3.13	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	CYP2U1;CEBPD;HSF4;NUPL2
NCI-H226 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	ZNF778;ARHGEF10L;RPGRIP1L;PCDHA8
NCI-H522 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	BRSK2;ARL5B;VGF;COL11A1
OVCAR-5 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	DCC;CTDSPL;TXNDC15;PCDHA8
RAMOS cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	TMEM179;C5ORF34;RNF103;ZNF345
RPMI-8226 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	ZCWPW2;B4GALT3;CNTD2;PCDHA9
SF-539 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	FAM160A1;CMTM3;TXNDC15;B4GALT4
SH-SY5Y cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	ADAMTS4;TTC9B;C1ORF52;ZBTB41
SN-12C cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	PPP1R15A;CNTD2;ZBTB41;RAD54B
T-47D cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	CNTD2;PCNX;TTC9B;PCDHA9
UO-31 cell	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	CMTM3;FANCD2;TYSND1;CMTM2
adrenal gland	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	GK5;STAR;LRAT;AZI2
arachnoid cyst	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	VGF;CMTM2;CKLF;GALNT9
ascites	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	CFHR5;FFAR2;ZNF77;ZBTB41
cardia	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	GADD45GIP1;PDGFC;BAI3;TYRP1
gall bladder	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	GK5;DCC;CES3;CLGN
hair follicle	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	LNP1;SLC9A5;PCDHA2;TTLL8
lung	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	BRSK2;DCC;TNK2;TMCC1
non-small cell lung cancer cell line	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	FLCN;SETD2;TYSND1;MAP4K3
oral epithelium	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	JAG1;CMTM3;LEPR;HN1
seminal plasma	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	ZNHIT6;INHBB;CES3;UFSP1
synovial fluid	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	EMR2;GCG;FMO5;OR52N2
testis	4/301	0.9024877396534712	1.0	0	0	0.6013138708077148	0.06169490761646779	FAM160A1;CYP2U1;TRPA1;SLC25A42
uterus	4/301	0.9024877396534712	0.9990104925575858	0	0	0.6013138708077148	0.06169490761646779	ITPKB;KIF3A;SCRIB;SPTB
HTC-116 cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	RNF103;BAI3;GALNT9
HeLa cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	GRXCR1;C5ORF34;TP73
NCI-H23 cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	SENP6;TXNDC15;SLC36A4
NCI-H322M cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	GRIA2;TMEM179;CEP164
PC-3 cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	LEPR;DIRC2;ZNF57
SK-MEL-2 cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	BRAP;CNTD2;ZNF778
SNB-19 cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	POM121C;TXNDC15;CLGN
UTSCC67	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	PRKAB2;GPR137B;ZBTB41
UTSCC74A	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	CEP164;MAP4K3;ZBTB41
colon muscle	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	SV2C;KRTAP13-4;FHOD1
ileum epithelial cell	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	KCNJ13;TYSND1;PCDHA3
milk	3/301	0.963985983932554	1.0	0	0	0.4509854031057861	0.016541478916286313	RDM1;KCNJ13;CES3
myometrium	3/301	0.963985983932554	0.9977254933701935	0	0	0.4509854031057861	0.016541478916286313	GRIA2;ADAMTS14;MAP3K10
spermatozoon	3/301	0.963985983932554	0.9927616849454661	0	0	0.4509854031057861	0.016541478916286313	TSKS;RNF138;WDR66
Caki-1 cell	2/301	0.9909954064854146	1.0	0	0	0.3006569354038574	0.002719556198662736	CMTM3;RRAD
UACC-62 cell	2/301	0.9909954064854146	1.0	0	0	0.3006569354038574	0.002719556198662736	FLCN;ARMC7
ovary	2/301	0.9909954064854146	1.0	0	0	0.3006569354038574	0.002719556198662736	USP21;EMID1
spleen	2/301	0.9909954064854146	1.0	0	0	0.3006569354038574	0.002719556198662736	LILRB1;HSPBAP1
IGROV-1 cell	1/301	0.9988589269772549	1.0	0	0	0.1503284677019287	1.7163370097184082E-4	RNF103
SF-268 cell	1/301	0.9988589269772549	0.9988589269772549	0	0	0.1503284677019287	1.7163370097184082E-4	CLGN
